Date,Region,Confirmed,Deaths,Recovered,Active Cases,Mortality Rate,Recovery Ratio
2020-04-29,Slovenia,1418,89,230,1099,6.276445698166431,16.22002820874471
2020-04-29,Somalia,582,28,20,534,4.810996563573884,3.436426116838488
2020-04-29,South Africa,5350,103,2073,3174,1.9252336448598129,38.74766355140187
2020-04-29,South Korea,10765,247,9059,1459,2.2944728286112404,84.15234556432884
2020-04-29,South Sudan,34,0,0,34,0.0,0.0
2020-04-29,Spain,236899,24275,132929,79695,10.246982891443189,56.11209840480542
2020-04-29,Sri Lanka,649,7,136,506,1.078582434514638,20.955315870570107
2020-04-29,Sudan,375,28,32,315,7.466666666666668,8.533333333333333
2020-04-29,Suriname,10,1,8,1,10.0,80.0
2020-04-29,Sweden,20302,2462,1005,16835,12.12688405083243,4.950251206777658
2020-04-29,Switzerland,29407,1716,22600,5091,5.835345325942803,76.8524500969157
2020-04-29,Syria,43,3,21,19,6.976744186046512,48.837209302325576
2020-04-29,Taiwan,429,6,311,112,1.3986013986013985,72.49417249417249
2020-04-29,Tanzania,480,16,167,297,3.3333333333333335,34.791666666666664
2020-04-29,Thailand,2947,54,2665,228,1.8323719036308113,90.43094672548354
2020-04-29,Timor-Leste,24,0,6,18,0.0,25.0
2020-04-29,Togo,109,7,64,38,6.422018348623854,58.71559633027523
2020-04-29,Trinidad and Tobago,116,8,71,37,6.896551724137931,61.206896551724135
2020-04-29,Tunisia,980,40,294,646,4.081632653061225,30.0
2020-04-29,Turkey,117589,3081,44040,70468,2.6201430405905315,37.452482800261926
2020-04-29,UK,165221,26097,0,139124,15.795207630991218,0.0
2020-04-29,Uganda,81,0,52,29,0.0,64.19753086419753
2020-04-29,Ukraine,9866,250,1103,8513,2.5339549969592543,11.179809446584228
2020-04-29,United Arab Emirates,11929,98,2329,9502,0.8215273702741218,19.523849442535
2020-04-29,Uruguay,630,15,412,203,2.380952380952381,65.39682539682539
2020-04-29,Uzbekistan,2002,9,1096,897,0.4495504495504496,54.74525474525475
2020-04-29,Venezuela,331,10,142,179,3.0211480362537766,42.90030211480362
2020-04-29,Vietnam,270,0,222,48,0.0,82.22222222222221
2020-04-29,West Bank and Gaza,344,2,71,271,0.5813953488372093,20.63953488372093
2020-04-29,Zambia,97,3,54,40,3.0927835051546393,55.670103092783506
2020-04-29,Zimbabwe,32,4,5,23,12.5,15.625
2020-04-29,US,6912,256,0,6656,3.7037037037037033,0.0
2020-04-29,US,355,9,0,346,2.535211267605634,0.0
2020-04-29,Canada,5165,87,0,5078,1.6844143272023233,0.0
2020-04-29,Mainland China,991,6,985,0,0.6054490413723511,99.39455095862765
2020-04-29,US,7209,308,0,6901,4.2724372312387295,0.0
2020-04-29,US,3193,57,0,3136,1.7851550266207328,0.0
2020-04-29,Netherlands,100,2,73,25,2.0,73.0
2020-04-29,Australia,106,3,101,2,2.8301886792452833,95.28301886792453
2020-04-29,Mainland China,593,9,542,42,1.5177065767284992,91.39966273187183
2020-04-29,UK,111,6,48,57,5.405405405405405,43.24324324324324
2020-04-29,Canada,2087,109,0,1978,5.222807858169622,0.0
2020-04-29,US,48747,1946,0,46801,3.9920405358278463,0.0
2020-04-29,UK,73,1,10,62,1.36986301369863,13.698630136986301
2020-04-29,UK,537,38,386,113,7.076350093109869,71.88081936685289
2020-04-29,Mainland China,579,6,573,0,1.0362694300518136,98.96373056994818
2020-04-29,US,14758,766,0,13992,5.190405203957176,0.0
2020-04-29,US,26767,2169,0,24598,8.103261478686443,0.0
2020-04-29,Netherlands,16,1,13,2,6.25,81.25
2020-04-29,US,4655,144,0,4511,3.093447905477981,0.0
2020-04-29,US,49,0,0,49,0.0,0.0
2020-04-29,US,4106,205,0,3901,4.992693619094009,0.0
2020-04-29,UK,13,0,11,2,0.0,84.61538461538461
2020-04-29,Denmark,187,0,181,6,0.0,96.79144385026738
2020-04-29,US,33193,1218,0,31975,3.6694483776699904,0.0
2020-04-29,France,125,1,93,31,0.8,74.4
2020-04-29,France,58,0,50,8,0.0,86.20689655172413
2020-04-29,Mainland China,355,1,353,1,0.28169014084507044,99.43661971830986
2020-04-29,Mainland China,139,2,137,0,1.4388489208633095,98.56115107913669
2020-04-29,US,25775,1101,0,24674,4.271580989330747,0.0
